# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  92               4.67001181E+01   1.57675153E+03   8.38293864E-01   1.60404376E-01   6.58351951E-04   4.06477386E-04   5.43399160E-05   1.24461829E-04   2.42293364E-05   1.29233991E-05  
  93               5.19149111E+01   1.62201987E+03   8.38320449E-01   1.60396288E-01   6.36906134E-04   3.82169869E-04   5.43446450E-05   1.48673009E-04   2.40798188E-05   1.28442609E-05  
  94               5.75265803E+01   1.66687248E+03   8.38331857E-01   1.60385347E-01   6.13585341E-04   3.58493556E-04   5.43707548E-05   1.72226243E-04   2.40627419E-05   1.27568888E-05  
  95               6.34736585E+01   1.71073089E+03   8.38341698E-01   1.60376528E-01   6.07097335E-04   3.32777142E-04   5.43700909E-05   1.97812481E-04   2.31159787E-05   1.26941840E-05  
  96               6.96756005E+01   1.75316027E+03   8.38360860E-01   1.60369010E-01   5.86930633E-04   3.11701174E-04   5.43567295E-05   2.18745355E-04   2.30834351E-05   1.26716934E-05  
  97               7.59141990E+01   1.79278961E+03   8.38372621E-01   1.60361814E-01   5.70320492E-04   2.92934179E-04   5.43240713E-05   2.37359685E-04   2.30307555E-05   1.26854893E-05  
  98               8.26023114E+01   1.83259569E+03   8.38373974E-01   1.60353762E-01   5.57350767E-04   2.74592899E-04   5.42731946E-05   2.55526660E-04   2.29281584E-05   1.27248427E-05  
  99               8.92001917E+01   1.86927102E+03   8.38362339E-01   1.60345301E-01   5.51273719E-04   2.57683410E-04   5.42102687E-05   2.72258036E-04   2.27496139E-05   1.27876703E-05  
  100              9.54687825E+01   1.90230426E+03   8.38334106E-01   1.60335714E-01   5.53196018E-04   2.41692848E-04   5.41454830E-05   2.88074736E-04   2.24845872E-05   1.28582866E-05  
  101              1.02266870E+02   1.93602523E+03   8.38237849E-01   1.60314908E-01   5.65287051E-04   2.24222053E-04   5.40658657E-05   3.05332150E-04   2.20954484E-05   1.29508716E-05  
